






"Handl(Goods ID)","Product Name","Item No.","Price","Barcode(Ignore)","Category","Weight","SaleProp Type","Seo Title","Seo Keywords","Seo Descript","Detail(HTML)","Brand","Tags","Property Option(Ignore)","Status","Main Image(Http)","Other Image","Mini Detail","Group Codeno","Buy Counts","Diy Remark","Create Time","Field 1(Ignore)","Field 2(Ignore)","Field 3(Ignore)","Field 4(Ignore)","Field 5(Ignore)","Sku Code","Sku Barcode(Ignore)","Sku Price","Sku Weight","Sku Qty","Sku Option1","Sku Option1 Value","Sku Option2","Sku Option2 Value","Sku Option3","Sku Option3 Value","Sku Option4","Sku Option4 Value","Sku Option5","Sku Option5 Value","Is Bookable"
"360812","Red Plus Size Microfiber & Scalloped Eyelash Lace Romper","LC32493-3","5.405","","Plus Size Clothing,Plus Size Lingerie","0.189","1","","","","<p>
	<br />
</p>
<p>
	<p style=""white-space:normal;"">
		<span style=""font-family:Arial;"">•Faux drawstring and adjustable straps，elasticized waist</span>
	</p>
	<p style=""white-space:normal;"">
		<span style=""font-family:Arial;"">•A v-neck with lace trim highlights your charming collarbone</span>
	</p>
	<p style=""white-space:normal;"">
		<span style=""font-family:Arial;"">•Womens&nbsp;<strong><a href=""/Plus-Size-Lingerie-c9.html"" target=""_blank"">plus size lingerie</a></strong>&nbsp;outlines a graceful figure</span>
	</p>
	<p style=""white-space:normal;"">
		<span style=""font-family:Arial;"">•Sexy lingerie enhances your relationship with your lover</span>
	</p>
	<p style=""white-space:normal;"">
		<span style=""font-family:Arial;"">•Feel sexy in this plus size microfiber and scalloped eyelash lace romper</span>
	</p>
	<p style=""white-space:normal;"">
		<span style=""font-family:Arial;""><br />
</span>
	</p>
	<p style=""white-space:normal;"">
		<strong><span style=""font-family:Arial;"">Size Chart (CM)</span></strong><o:p></o:p>
	</p>
	<table border=""1"" cellspacing=""0"" cellpadding=""0"">
		<tbody>
			<tr>
				<td rowspan=""2"">
					<p style=""text-align:center;"">
						<span style=""font-family:Arial;"">Sizes</span><o:p></o:p>
					</p>
				</td>
				<td>
					<p style=""text-align:center;"">
						<span style=""font-family:Arial;"">Bust</span><o:p></o:p>
					</p>
				</td>
				<td>
					<p style=""text-align:center;"">
						<span style=""font-family:Arial;"">Waist</span><o:p></o:p>
					</p>
				</td>
				<td>
					<p style=""text-align:center;"">
						<span style=""font-family:Arial;"">Length</span><o:p></o:p>
					</p>
				</td>
			</tr>
			<tr>
				<td>
					<p style=""text-align:center;"">
						<span style=""font-family:Arial;"">Relax</span><o:p></o:p>
					</p>
				</td>
				<td>
					<p style=""text-align:center;"">
						<span style=""font-family:Arial;"">Relax</span><o:p></o:p>
					</p>
				</td>
				<td>
					<p style=""text-align:center;"">
						<span style=""font-family:Arial;"">Relax</span><o:p></o:p>
					</p>
				</td>
			</tr>
			<tr>
				<td>
					<p style=""text-align:center;"">
						<span style=""font-family:Arial;"">1X</span><o:p></o:p>
					</p>
				</td>
				<td>
					<p style=""text-align:center;"">
						<span style=""font-family:Arial;"">101</span><o:p></o:p>
					</p>
				</td>
				<td>
					<p style=""text-align:center;"">
						<span style=""font-family:Arial;"">88</span><o:p></o:p>
					</p>
				</td>
				<td>
					<p style=""text-align:center;"">
						<span style=""font-family:Arial;"">65</span><o:p></o:p>
					</p>
				</td>
			</tr>
			<tr>
				<td>
					<p style=""text-align:center;"">
						<span style=""font-family:Arial;"">2X</span><o:p></o:p>
					</p>
				</td>
				<td>
					<p style=""text-align:center;"">
						<span style=""font-family:Arial;"">108</span><o:p></o:p>
					</p>
				</td>
				<td>
					<p style=""text-align:center;"">
						<span style=""font-family:Arial;"">95</span><o:p></o:p>
					</p>
				</td>
				<td>
					<p style=""text-align:center;"">
						<span style=""font-family:Arial;"">66.8</span><o:p></o:p>
					</p>
				</td>
			</tr>
			<tr>
				<td>
					<p style=""text-align:center;"">
						<span style=""font-family:Arial;"">3X</span><o:p></o:p>
					</p>
				</td>
				<td>
					<p style=""text-align:center;"">
						<span style=""font-family:Arial;"">115</span><o:p></o:p>
					</p>
				</td>
				<td>
					<p style=""text-align:center;"">
						<span style=""font-family:Arial;"">102</span><o:p></o:p>
					</p>
				</td>
				<td>
					<p style=""text-align:center;"">
						<span style=""font-family:Arial;"">68.6</span><o:p></o:p>
					</p>
				</td>
			</tr>
			<tr>
				<td>
					<p style=""text-align:center;"">
						<span style=""font-family:Arial;"">4X</span><o:p></o:p>
					</p>
				</td>
				<td>
					<p style=""text-align:center;"">
						<span style=""font-family:Arial;"">122</span><o:p></o:p>
					</p>
				</td>
				<td>
					<p style=""text-align:center;"">
						<span style=""font-family:Arial;"">109</span><o:p></o:p>
					</p>
				</td>
				<td>
					<p style=""text-align:center;"">
						<span style=""font-family:Arial;"">70.4</span><o:p></o:p>
					</p>
				</td>
			</tr>
			<tr>
				<td>
					<p style=""text-align:center;"">
						<span style=""font-family:Arial;"">5X</span><o:p></o:p>
					</p>
				</td>
				<td>
					<p style=""text-align:center;"">
						<span style=""font-family:Arial;"">129</span><o:p></o:p>
					</p>
				</td>
				<td>
					<p style=""text-align:center;"">
						<span style=""font-family:Arial;"">116</span><o:p></o:p>
					</p>
				</td>
				<td>
					<p style=""text-align:center;"">
						<span style=""font-family:Arial;"">72.2</span><o:p></o:p>
					</p>
				</td>
			</tr>
			<tr>
				<td colspan=""2"">
					<p style=""text-align:center;"">
						<span style=""font-family:Arial;"">Elasticity</span><o:p></o:p>
					</p>
				</td>
				<td colspan=""2"">
					<p style=""text-align:center;"">
						<span style=""font-family:Arial;"">High</span><o:p></o:p>
					</p>
				</td>
			</tr>
		</tbody>
	</table>
	<p style=""white-space:normal;"">
		<span style=""font-family:Arial;"">&nbsp;<br />
</span><strong><span style=""font-family:Arial;color:#202020;"">Note:</span></strong>
	</p>
	<p style=""white-space:normal;"">
		<o:p></o:p>
	</p>
	<p style=""white-space:normal;"">
		<span style=""font-family:Arial;"">1.There maybe 1</span><st1:chmetcnv unitname=""cm"" sourcevalue=""2"" hasspace=""True"" negative=""True"" numbertype=""1"" tcsc=""0"" w:st=""on""><span style=""font-family:Arial;"">-2 cm</span></st1:chmetcnv><span style=""font-family:Arial;"">&nbsp;deviation in different sizes, locations and stretch of fabrics. Size chart is for reference only, there may be a little difference with what you get.</span><o:p></o:p>
	</p>
	<p style=""white-space:normal;"">
		<span style=""font-family:Arial;"">2.There are 3 kinds of elasticity: High Elasticity (two-sided stretched), Medium Elasticity (one-sided stretched) and Nonelastic (can not stretched ).</span><o:p></o:p>
	</p>
	<p style=""white-space:normal;"">
		<span style=""font-family:Arial;"">3.Color may be lighter or darker due to the different PC display.</span><o:p></o:p>
	</p>
	<p style=""white-space:normal;"">
		<span style=""font-family:Arial;"">4.Wash it by hand in 30-degree water, hang to dry in shade, prohibit bleaching.</span><o:p></o:p>
	</p>
	<p style=""white-space:normal;"">
		<span style=""font-family:Arial;"">5.There maybe a slightly difference on detail and pattern of this dress.</span>
	</p>
</p>","","","","1","http://cdn2.shopxsy.com/24456/2020/09/10/4/f/4ff80898edefc4e2.jpg","http://cdn2.shopxsy.com/24456/2020/09/10/3/1/3147d3d51045c31b.jpg,http://cdn2.shopxsy.com/24456/2020/09/10/d/8/d80e5f7329a46b1c.jpg","","LC32493","0","0","2020-09-09 20:54:51","","","","","","LC32493-3-1X","","5.405","0.152","33","Color","Red","Size","(US 14-16)1X","","","","","","","0"
"360812","","","","","","","","","","","","","","","","","","","","","","","","","","","","LC32493-3-2X","","5.405","0.157","23","","Red","","(US 18-20)2X","","","","","","","0"
"360812","","","","","","","","","","","","","","","","","","","","","","","","","","","","LC32493-3-3X","","5.405","0.165","33","","Red","","(US 22-24)3X","","","","","","","0"
"360812","","","","","","","","","","","","","","","","","","","","","","","","","","","","LC32493-3-4X","","5.405","0.177","31","","Red","","(US 26-28)4X","","","","","","","0"
"360812","","","","","","","","","","","","","","","","","","","","","","","","","","","","LC32493-3-5X","","5.405","0.189","35","","Red","","(US 30-32)5X","","","","","","","0"
"360808","Black Plus Size Microfiber & Scalloped Eyelash Lace Romper","LC32493-2","5.405","","Plus Size Clothing,Plus Size Lingerie","0.189","1","","","","<p>
	<br />
</p>
<p>
	<p style=""white-space:normal;"">
		<span style=""font-family:Arial;"">•Faux drawstring and adjustable straps，elasticized waist</span>
	</p>
	<p style=""white-space:normal;"">
		<span style=""font-family:Arial;"">•A v-neck with lace trim highlights your charming collarbone</span>
	</p>
	<p style=""white-space:normal;"">
		<span style=""font-family:Arial;"">•Womens&nbsp;<strong><a href=""/Plus-Size-Lingerie-c9.html"" target=""_blank"">plus size lingerie</a></strong>&nbsp;outlines a graceful figure</span>
	</p>
	<p style=""white-space:normal;"">
		<span style=""font-family:Arial;"">•Sexy lingerie enhances your relationship with your lover</span>
	</p>
	<p style=""white-space:normal;"">
		<span style=""font-family:Arial;"">•Feel sexy in this plus size microfiber and scalloped eyelash lace romper</span>
	</p>
	<p style=""white-space:normal;"">
		<span style=""font-family:Arial;""><br />
</span>
	</p>
	<p style=""white-space:normal;"">
		<strong><span style=""font-family:Arial;"">Size Chart (CM)</span></strong><o:p></o:p>
	</p>
	<table border=""1"" cellspacing=""0"" cellpadding=""0"">
		<tbody>
			<tr>
				<td rowspan=""2"">
					<p style=""text-align:center;"">
						<span style=""font-family:Arial;"">Sizes</span><o:p></o:p>
					</p>
				</td>
				<td>
					<p style=""text-align:center;"">
						<span style=""font-family:Arial;"">Bust</span><o:p></o:p>
					</p>
				</td>
				<td>
					<p style=""text-align:center;"">
						<span style=""font-family:Arial;"">Waist</span><o:p></o:p>
					</p>
				</td>
				<td>
					<p style=""text-align:center;"">
						<span style=""font-family:Arial;"">Length</span><o:p></o:p>
					</p>
				</td>
			</tr>
			<tr>
				<td>
					<p style=""text-align:center;"">
						<span style=""font-family:Arial;"">Relax</span><o:p></o:p>
					</p>
				</td>
				<td>
					<p style=""text-align:center;"">
						<span style=""font-family:Arial;"">Relax</span><o:p></o:p>
					</p>
				</td>
				<td>
					<p style=""text-align:center;"">
						<span style=""font-family:Arial;"">Relax</span><o:p></o:p>
					</p>
				</td>
			</tr>
			<tr>
				<td>
					<p style=""text-align:center;"">
						<span style=""font-family:Arial;"">1X</span><o:p></o:p>
					</p>
				</td>
				<td>
					<p style=""text-align:center;"">
						<span style=""font-family:Arial;"">101</span><o:p></o:p>
					</p>
				</td>
				<td>
					<p style=""text-align:center;"">
						<span style=""font-family:Arial;"">88</span><o:p></o:p>
					</p>
				</td>
				<td>
					<p style=""text-align:center;"">
						<span style=""font-family:Arial;"">65</span><o:p></o:p>
					</p>
				</td>
			</tr>
			<tr>
				<td>
					<p style=""text-align:center;"">
						<span style=""font-family:Arial;"">2X</span><o:p></o:p>
					</p>
				</td>
				<td>
					<p style=""text-align:center;"">
						<span style=""font-family:Arial;"">108</span><o:p></o:p>
					</p>
				</td>
				<td>
					<p style=""text-align:center;"">
						<span style=""font-family:Arial;"">95</span><o:p></o:p>
					</p>
				</td>
				<td>
					<p style=""text-align:center;"">
						<span style=""font-family:Arial;"">66.8</span><o:p></o:p>
					</p>
				</td>
			</tr>
			<tr>
				<td>
					<p style=""text-align:center;"">
						<span style=""font-family:Arial;"">3X</span><o:p></o:p>
					</p>
				</td>
				<td>
					<p style=""text-align:center;"">
						<span style=""font-family:Arial;"">115</span><o:p></o:p>
					</p>
				</td>
				<td>
					<p style=""text-align:center;"">
						<span style=""font-family:Arial;"">102</span><o:p></o:p>
					</p>
				</td>
				<td>
					<p style=""text-align:center;"">
						<span style=""font-family:Arial;"">68.6</span><o:p></o:p>
					</p>
				</td>
			</tr>
			<tr>
				<td>
					<p style=""text-align:center;"">
						<span style=""font-family:Arial;"">4X</span><o:p></o:p>
					</p>
				</td>
				<td>
					<p style=""text-align:center;"">
						<span style=""font-family:Arial;"">122</span><o:p></o:p>
					</p>
				</td>
				<td>
					<p style=""text-align:center;"">
						<span style=""font-family:Arial;"">109</span><o:p></o:p>
					</p>
				</td>
				<td>
					<p style=""text-align:center;"">
						<span style=""font-family:Arial;"">70.4</span><o:p></o:p>
					</p>
				</td>
			</tr>
			<tr>
				<td>
					<p style=""text-align:center;"">
						<span style=""font-family:Arial;"">5X</span><o:p></o:p>
					</p>
				</td>
				<td>
					<p style=""text-align:center;"">
						<span style=""font-family:Arial;"">129</span><o:p></o:p>
					</p>
				</td>
				<td>
					<p style=""text-align:center;"">
						<span style=""font-family:Arial;"">116</span><o:p></o:p>
					</p>
				</td>
				<td>
					<p style=""text-align:center;"">
						<span style=""font-family:Arial;"">72.2</span><o:p></o:p>
					</p>
				</td>
			</tr>
			<tr>
				<td colspan=""2"">
					<p style=""text-align:center;"">
						<span style=""font-family:Arial;"">Elasticity</span><o:p></o:p>
					</p>
				</td>
				<td colspan=""2"">
					<p style=""text-align:center;"">
						<span style=""font-family:Arial;"">High</span><o:p></o:p>
					</p>
				</td>
			</tr>
		</tbody>
	</table>
	<p style=""white-space:normal;"">
		<span style=""font-family:Arial;"">&nbsp;<br />
</span><strong><span style=""font-family:Arial;color:#202020;"">Note:</span></strong>
	</p>
	<p style=""white-space:normal;"">
		<o:p></o:p>
	</p>
	<p style=""white-space:normal;"">
		<span style=""font-family:Arial;"">1.There maybe 1</span><st1:chmetcnv unitname=""cm"" sourcevalue=""2"" hasspace=""True"" negative=""True"" numbertype=""1"" tcsc=""0"" w:st=""on""><span style=""font-family:Arial;"">-2 cm</span></st1:chmetcnv><span style=""font-family:Arial;"">&nbsp;deviation in different sizes, locations and stretch of fabrics. Size chart is for reference only, there may be a little difference with what you get.</span><o:p></o:p>
	</p>
	<p style=""white-space:normal;"">
		<span style=""font-family:Arial;"">2.There are 3 kinds of elasticity: High Elasticity (two-sided stretched), Medium Elasticity (one-sided stretched) and Nonelastic (can not stretched ).</span><o:p></o:p>
	</p>
	<p style=""white-space:normal;"">
		<span style=""font-family:Arial;"">3.Color may be lighter or darker due to the different PC display.</span><o:p></o:p>
	</p>
	<p style=""white-space:normal;"">
		<span style=""font-family:Arial;"">4.Wash it by hand in 30-degree water, hang to dry in shade, prohibit bleaching.</span><o:p></o:p>
	</p>
	<p style=""white-space:normal;"">
		<span style=""font-family:Arial;"">5.There maybe a slightly difference on detail and pattern of this dress.</span>
	</p>
</p>","","","","1","http://cdn2.shopxsy.com/24456/2020/09/10/7/3/7377916a8baf2d1d.jpg","http://cdn2.shopxsy.com/24456/2020/09/10/0/b/0b4a6d5d52db109c.jpg,http://cdn2.shopxsy.com/24456/2020/09/10/e/4/e4f667a988f23b7d.jpg,http://cdn2.shopxsy.com/24456/2020/09/10/e/c/ec1bde244fdb353e.jpg","","LC32493","0","0","2020-09-09 22:54:51","","","","","","LC32493-2-1X","","5.405","0.152","31","Color","Black","Size","(US 14-16)1X","","","","","","","0"
"360808","","","","","","","","","","","","","","","","","","","","","","","","","","","","LC32493-2-2X","","5.405","0.157","14","","Black","","(US 18-20)2X","","","","","","","0"
"360808","","","","","","","","","","","","","","","","","","","","","","","","","","","","LC32493-2-3X","","5.405","0.165","19","","Black","","(US 22-24)3X","","","","","","","0"
"360808","","","","","","","","","","","","","","","","","","","","","","","","","","","","LC32493-2-4X","","5.405","0.177","20","","Black","","(US 26-28)4X","","","","","","","0"
"360808","","","","","","","","","","","","","","","","","","","","","","","","","","","","LC32493-2-5X","","5.405","0.189","23","","Black","","(US 30-32)5X","","","","","","","0"
